Código,Título,Estrato,Energía <ENERC> - kcal,Energía <ENERC> - KJ,Agua <WATER>,Proteínas <PROCNT>,Grasa total <FAT>,Carbohidratos totales <CHOCDF>,Carbohidratos disponibles <CHOAVL>,Fibra dietaria <FIBTG>,Cenizas <ASH>,Calcio <CA>,Fósforo <P>,Zinc <ZN>,Hierro <FE>,Sodio <NA>,Potasio <K>,Vitamina A equivalentes totales <VITA>,Tiamina <THIA>,Riboflavina <RIBF>,Niacina <NIA>,Vitamina C <VITC>,Ácido fólico,Acción
SE45,Chupe de pescado,B,72kcal,302KJ,39.80g,3.70g,1.60g,11.00g,10.40g,0.60g,0.50g,12mg,55mg,0.31mg,0.44mg,119mg,3mg,53μg,0.04mg,0.04mg,0.92mg,3.00mg,0μg,
SE45,Chupe de pescado,C,48kcal,201KJ,21.30g,2.40g,1.20g,7.10g,6.50g,0.40g,0.40g,26mg,38mg,0.19mg,0.43mg,187mg,4mg,27μg,0.02mg,0.05mg,0.39mg,1.78mg,0μg,
SE45,Chupe de pescado,D,38kcal,158KJ,17.90g,1.80g,0.70g,6.20g,5.90g,0.30g,0.30g,14mg,26mg,0.13mg,0.26mg,212mg,3mg,20μg,0.02mg,0.03mg,0.35mg,1.77mg,0μg,
SE45,Chupe de pescado,E,36kcal,152KJ,13.30g,1.40g,1.70g,6.10g,5.80g,0.20g,0.20g,11mg,21mg,0.14mg,0.21mg,165mg,4mg,11μg,0.02mg,0.03mg,0.22mg,1.62mg,0μg,
SE46,Chupe de pollo,D,36kcal,152KJ,20.20g,2.80g,0.90g,4.30g,4.00g,0.20g,0.30g,12mg,34mg,0.32mg,0.46mg,142mg,13mg,124μg,0.02mg,0.07mg,1.05mg,1.88mg,0μg,
SE47,Chupe de trigo,E,16kcal,67KJ,12.00g,0.60g,0.30g,2.80g,2.60g,0.20g,0.20g,8mg,14mg,0.03mg,0.33mg,205mg,1mg,17μg,0.01mg,0.01mg,0.16mg,1.25mg,0μg,
SE48,Chupe mixto,D,15kcal,62KJ,13.00g,1.40g,0.40g,1.60g,1.40g,0.10g,0.20g,12mg,20mg,0.10mg,0.27mg,125mg,20mg,19μg,0.01mg,0.04mg,0.12mg,0.73mg,0μg,
SE49,Consomé de pollo,C,30kcal,124KJ,13.70g,2.60g,1.10g,2.30g,2.10g,0.10g,0.20g,3mg,31mg,0.44mg,0.83mg,208mg,20mg,213μg,0.02mg,0.14mg,1.01mg,2.53mg,0μg,
SE50,Crema de arveja,A,59kcal,249KJ,25.60g,3.20g,1.00g,11.30g,9.20g,2.00g,0.60g,15mg,21mg,0.45mg,0.70mg,105mg,6mg,79μg,0.03mg,0.04mg,0.34mg,3.01mg,0μg,
SE50,Crema de arveja,C,39kcal,163KJ,9.00g,2.40g,0.70g,7.10g,5.70g,1.30g,0.30g,11mg,9mg,0.36mg,0.63mg,243mg,6mg,67μg,0.01mg,0.03mg,0.24mg,1.12mg,0μg,
SE50,Crema de arveja,D,27kcal,112KJ,4.30g,1.60g,0.40g,5.40g,4.20g,1.00g,0.20g,7mg,2mg,0.23mg,0.37mg,64mg,0mg,1μg,0.00mg,0.00mg,0.01mg,0.46mg,0μg,
SE50,Crema de arveja,E,34kcal,141KJ,11.60g,2.20g,0.90g,5.30g,4.30g,1.00g,0.30g,17mg,16mg,0.23mg,0.50mg,128mg,10mg,12μg,0.01mg,0.02mg,0.09mg,1.11mg,0μg,
SE51,Crema de ocopa,C,109kcal,455KJ,71.00g,3.10g,3.60g,16.90g,15.20g,1.60g,1.10g,78mg,71mg,0.28mg,0.66mg,77mg,0mg,28μg,0.07mg,0.18mg,1.21mg,11.49mg,0μg,
SE52,Crema de pimiento,C,108kcal,451KJ,76.30g,4.40g,4.00g,13.90g,4.30g,0.30g,1.20g,137mg,93mg,0.28mg,0.80mg,36mg,0mg,62μg,0.03mg,0.11mg,0.15mg,6.37mg,0μg,
SE52,Crema de pimiento,D,119kcal,497KJ,73.10g,3.70g,4.10g,17.80g,16.10g,1.60g,1.20g,87mg,81mg,0.31mg,0.62mg,109mg,0mg,43μg,0.07mg,0.17mg,1.06mg,19.25mg,0μg,
SE53,Crema de rocoto,A,129kcal,539KJ,68.80g,3.10g,6.30g,15.90g,10.00g,0.80g,1.00g,62mg,64mg,0.29mg,0.59mg,120mg,0mg,24μg,0.04mg,0.12mg,0.61mg,7.17mg,0μg,
SE53,Crema de rocoto,B,132kcal,551KJ,68.70g,3.50g,2.90g,23.70g,21.60g,2.00g,1.20g,44mg,77mg,0.41mg,0.55mg,54mg,0mg,12μg,0.08mg,0.18mg,1.38mg,10.51mg,0μg,
SE53,Crema de rocoto,C,110kcal,462KJ,71.80g,3.20g,3.70g,16.80g,13.70g,1.40g,1.10g,59mg,70mg,0.33mg,0.65mg,131mg,0mg,25μg,0.06mg,0.15mg,1.00mg,8.48mg,0μg,
SE53,Crema de rocoto,D,134kcal,559KJ,66.40g,4.10g,6.30g,15.70g,14.10g,1.40g,1.10g,66mg,81mg,0.40mg,0.84mg,117mg,0mg,37μg,0.07mg,0.17mg,0.98mg,9.27mg,0μg,
SE54,Crema de verdura,A,16kcal,67KJ,28.00g,0.60g,0.90g,2.00g,1.40g,0.50g,0.30g,24mg,18mg,0.08mg,0.15mg,236mg,14mg,68μg,0.01mg,0.04mg,0.09mg,2.67mg,0μg,
SE54,Crema de verdura,B,34kcal,141KJ,15.10g,0.80g,2.10g,3.20g,2.90g,0.30g,0.30g,21mg,22mg,0.09mg,0.06mg,75mg,0mg,21μg,0.01mg,0.06mg,0.20mg,1.52mg,0μg,
SE54,Crema de verdura,E,23kcal,98KJ,7.90g,1.20g,0.30g,4.70g,2.40g,0.50g,0.20g,6mg,21mg,0.18mg,0.27mg,279mg,0mg,1μg,0.02mg,0.01mg,0.13mg,0.79mg,0μg,
SE55,Crema de zapallo,A,24kcal,102KJ,30.30g,0.70g,0.90g,3.80g,3.60g,0.10g,0.30g,18mg,18mg,0.12mg,0.28mg,109mg,0mg,25μg,0.02mg,0.04mg,0.19mg,1.79mg,0μg,
SE55,Crema de zapallo,C,24kcal,102KJ,26.00g,0.50g,1.40g,2.80g,2.70g,0.00g,0.30g,17mg,14mg,0.07mg,0.17mg,96mg,0mg,29μg,0.01mg,0.04mg,0.12mg,1.38mg,0μg,
SE56,Croquetas,A,175kcal,734KJ,25.20g,4.20g,11.60g,15.30g,3.30g,4.20g,0.90g,41mg,87mg,0.73mg,1.72mg,336mg,3mg,58μg,0.09mg,0.11mg,0.82mg,8.62mg,0μg,
SE57,Ensalada,A,98kcal,410KJ,79.40g,1.90g,7.90g,7.90g,4.20g,3.10g,0.80g,30mg,44mg,0.32mg,0.46mg,221mg,70mg,134μg,0.04mg,0.06mg,0.63mg,11.56mg,0μg,
SE57,Ensalada,B,39kcal,164KJ,87.00g,1.10g,2.50g,6.70g,3.40g,3.30g,0.90g,29mg,34mg,0.27mg,0.38mg,180mg,90mg,63μg,0.03mg,0.05mg,0.29mg,16.85mg,0μg,
SE57,Ensalada,C,77kcal,324KJ,83.40g,1.30g,6.60g,5.90g,3.20g,2.80g,0.80g,32mg,37mg,0.28mg,0.46mg,329mg,57mg,80μg,0.03mg,0.06mg,0.45mg,15.27mg,0μg,
SE57,Ensalada,D,51kcal,215KJ,87.00g,1.20g,3.80g,6.40g,3.10g,3.10g,0.80g,39mg,34mg,0.25mg,0.40mg,176mg,84mg,102μg,0.03mg,0.05mg,0.29mg,14.06mg,0μg,
SE57,Ensalada,E,124kcal,517KJ,77.70g,1.60g,11.70g,6.60g,3.50g,2.90g,0.80g,29mg,39mg,0.29mg,0.53mg,256mg,99mg,86μg,0.03mg,0.05mg,0.19mg,8.13mg,0μg,
SE58,Ensalada cesar,C,76kcal,316KJ,84.10g,4.70g,4.80g,4.60g,3.60g,1.10g,1.40g,198mg,106mg,0.11mg,0.54mg,158mg,8mg,216μg,0.04mg,0.14mg,0.35mg,20.83mg,0μg,
SE59,Ensalada de atún,D,82kcal,343KJ,79.30g,3.90g,1.30g,14.60g,12.50g,2.10g,0.90g,25mg,48mg,0.31mg,0.62mg,81mg,6mg,121μg,0.08mg,0.07mg,1.15mg,14.16mg,0μg,
SE60,Ensalada de cocona,C,45kcal,189KJ,84.90g,1.20g,0.40g,10.40g,9.00g,0.80g,0.80g,17mg,30mg,0.09mg,1.20mg,850mg,0mg,2μg,0.04mg,0.07mg,0.93mg,6.46mg,0μg,
SE61,Ensalada de fideos,C,273kcal,1144KJ,41.40g,5.90g,11.40g,39.30g,36.40g,2.80g,0.80g,40mg,90mg,0.67mg,2.96mg,396mg,13mg,157μg,0.08mg,0.12mg,0.88mg,2.46mg,0μg,
SE62,Ensalada de lechuga,E,62kcal,258KJ,90.60g,0.60g,5.70g,2.60g,1.50g,1.10g,0.30g,47mg,19mg,0.14mg,0.14mg,62mg,0mg,23μg,0.02mg,0.05mg,0.12mg,1.45mg,0μg,
SE63,Ensalada de verduras,A,58kcal,244KJ,87.80g,1.10g,4.20g,6.00g,3.90g,1.70g,0.50g,30mg,25mg,0.18mg,0.27mg,55mg,36mg,54μg,0.03mg,0.05mg,0.23mg,11.24mg,0μg,
SE63,Ensalada de verduras,B,125kcal,524KJ,78.90g,1.10g,11.30g,6.30g,5.00g,1.30g,0.60g,34mg,33mg,0.17mg,0.37mg,311mg,28mg,38μg,0.03mg,0.05mg,0.34mg,9.79mg,0μg,
SE63,Ensalada de verduras,C,86kcal,360KJ,84.60g,1.60g,7.50g,5.10g,3.30g,1.70g,0.70g,51mg,50mg,0.26mg,0.38mg,165mg,34mg,150μg,0.04mg,0.07mg,0.30mg,13.08mg,0μg,
SE63,Ensalada de verduras,D,78kcal,325KJ,76.20g,1.70g,6.00g,6.30g,4.30g,1.90g,0.60g,51mg,40mg,0.22mg,0.63mg,241mg,18mg,194μg,0.05mg,0.08mg,0.40mg,14.92mg,0μg,
SE63,Ensalada de verduras,E,65kcal,271KJ,80.80g,1.30g,5.00g,11.30g,4.90g,6.40g,1.40g,26mg,42mg,0.41mg,0.35mg,68mg,239mg,16μg,0.01mg,0.02mg,0.06mg,6.75mg,0μg,
SE64,Ensalada rusa,C,36kcal,149KJ,52.40g,0.70g,2.70g,4.30g,2.00g,1.70g,0.40g,24mg,21mg,0.09mg,0.25mg,107mg,49mg,385μg,0.02mg,0.02mg,0.12mg,8.63mg,0μg,
SE64,Ensalada rusa,D,84kcal,351KJ,79.00g,2.40g,2.70g,14.40g,11.60g,2.70g,1.00g,25mg,45mg,0.32mg,0.55mg,249mg,59mg,111μg,0.07mg,0.08mg,1.02mg,22.90mg,0μg,
SE65,Flauta rellena,A,123kcal,514KJ,68.20g,13.30g,3.20g,12.50g,10.30g,2.20g,1.30g,21mg,164mg,1.14mg,1.33mg,756mg,30mg,11μg,0.11mg,0.11mg,4.89mg,7.21mg,0μg,
SE66,Huevo a la rusa,B,89kcal,373KJ,75.40g,3.00g,3.60g,12.40g,8.80g,2.40g,0.90g,30mg,51mg,0.36mg,0.73mg,113mg,18mg,228μg,0.07mg,0.10mg,0.85mg,10.43mg,0μg,
SE66,Huevo a la rusa,C,75kcal,313KJ,41.10g,3.50g,3.20g,8.60g,5.70g,0.90g,0.60g,18mg,49mg,0.51mg,0.73mg,298mg,14mg,130μg,0.04mg,0.08mg,0.88mg,4.84mg,0μg,
SE66,Huevo a la rusa,D,119kcal,497KJ,75.30g,4.20g,7.00g,10.70g,8.30g,2.20g,1.00g,39mg,62mg,0.47mg,1.09mg,232mg,13mg,187μg,0.07mg,0.13mg,0.76mg,7.72mg,0μg,
SE67,Huevitos en salsa golf,B,85kcal,356KJ,80.80g,0.90g,7.50g,4.40g,2.10g,0.90g,0.30g,30mg,21mg,0.15mg,0.28mg,300mg,4mg,67μg,0.02mg,0.05mg,0.17mg,7.18mg,0μg,
SE67,Huevitos en salsa golf,D,174kcal,727KJ,67.80g,2.50g,10.60g,17.90g,16.00g,1.90g,0.90g,26mg,57mg,0.33mg,0.48mg,87mg,0mg,11μg,0.08mg,0.13mg,1.32mg,11.70mg,0μg,
SE68,Hummus,A,212kcal,887KJ,7.80g,7.00g,3.90g,38.00g,32.50g,2.90g,0.50g,78mg,83mg,0.61mg,3.63mg,85mg,0mg,0μg,0.24mg,0.20mg,2.26mg,1.42mg,0μg,
SE69,Menestrón con pollo,A,21kcal,86KJ,10.70g,0.80g,0.30g,3.90g,3.60g,0.30g,0.10g,10mg,13mg,0.10mg,0.32mg,97mg,6mg,40μg,0.01mg,0.02mg,0.22mg,1.04mg,0μg,
SE69,Menestrón con pollo,C,149kcal,622KJ,40.10g,7.70g,2.20g,27.00g,24.00g,2.50g,0.80g,39mg,120mg,1.04mg,3.29mg,643mg,55mg,687μg,0.08mg,0.30mg,2.37mg,4.23mg,0μg,
SE70,Menestrón con res,A,48kcal,202KJ,22.10g,2.50g,0.40g,9.50g,8.40g,0.90g,0.40g,20mg,39mg,0.43mg,0.87mg,152mg,5mg,36μg,0.03mg,0.05mg,0.65mg,2.20mg,0μg,
SE70,Menestrón con res,B,49kcal,203KJ,26.00g,2.80g,0.30g,9.30g,8.60g,0.70g,0.40g,17mg,39mg,0.48mg,0.87mg,170mg,7mg,38μg,0.03mg,0.05mg,0.76mg,2.47mg,0μg,
SE70,Menestrón con res,C,42kcal,177KJ,22.30g,2.20g,0.40g,8.10g,6.90g,0.90g,0.40g,21mg,34mg,0.36mg,0.78mg,204mg,6mg,34μg,0.02mg,0.04mg,0.55mg,2.60mg,0μg,
SE70,Menestrón con res,D,45kcal,190KJ,18.50g,1.90g,0.40g,9.20g,8.00g,0.70g,0.30g,17mg,30mg,0.29mg,0.70mg,189mg,5mg,31μg,0.02mg,0.04mg,0.45mg,2.14mg,0μg,
SE70,Menestrón con res,E,41kcal,172KJ,20.50g,1.90g,0.40g,8.20g,7.10g,0.80g,0.30g,17mg,31mg,0.32mg,0.71mg,157mg,6mg,39μg,0.02mg,0.04mg,0.50mg,2.68mg,0μg,
SE71,Ocopa a la arequipeña,A,139kcal,584KJ,68.70g,4.80g,6.20g,16.90g,11.30g,0.90g,1.30g,119mg,115mg,0.43mg,0.77mg,87mg,0mg,48μg,0.05mg,0.22mg,0.92mg,7.28mg,1μg,
SE71,Ocopa a la arequipeña,B,112kcal,470KJ,68.80g,3.20g,3.40g,18.00g,16.30g,1.60g,1.10g,70mg,79mg,0.29mg,0.75mg,77mg,0mg,26μg,0.07mg,0.16mg,1.20mg,11.99mg,0μg,
SE71,Ocopa a la arequipeña,C,119kcal,499KJ,68.60g,3.90g,4.70g,16.10g,10.30g,1.00g,1.10g,80mg,91mg,0.38mg,0.73mg,193mg,0mg,32μg,0.05mg,0.16mg,0.90mg,8.00mg,0μg,
SE71,Ocopa a la arequipeña,D,126kcal,529KJ,67.60g,3.50g,3.50g,21.10g,13.90g,1.10g,1.10g,62mg,93mg,0.36mg,0.64mg,119mg,0mg,18μg,0.05mg,0.16mg,0.88mg,10.13mg,0μg,
SE71,Ocopa a la arequipeña,E,131kcal,546KJ,62.60g,3.70g,5.40g,17.50g,15.70g,1.70g,1.10g,50mg,74mg,0.42mg,0.77mg,75mg,0mg,27μg,0.08mg,0.16mg,1.40mg,9.50mg,0μg,
SE72,Palta rellena,B,218kcal,913KJ,65.70g,3.70g,18.70g,10.30g,6.90g,3.40g,1.00g,25mg,65mg,0.51mg,0.79mg,266mg,7mg,103μg,0.09mg,0.09mg,1.30mg,21.78mg,0μg,
SE72,Palta rellena,C,112kcal,467KJ,74.00g,2.60g,6.30g,15.40g,10.90g,4.60g,1.20g,22mg,62mg,0.43mg,0.62mg,131mg,107mg,172μg,0.06mg,0.07mg,0.84mg,7.07mg,0μg,
SE72,Palta rellena,E,83kcal,346KJ,76.70g,3.70g,3.60g,14.30g,3.90g,4.90g,1.40g,25mg,62mg,0.54mg,0.59mg,158mg,171mg,162μg,0.03mg,0.03mg,0.85mg,5.34mg,0μg,
SE73,Pan al ajo,A,265kcal,1108KJ,29.30g,7.00g,9.10g,40.70g,38.80g,1.90g,1.40g,33mg,106mg,0.64mg,3.83mg,294mg,0mg,45μg,0.11mg,0.21mg,1.98mg,11.84mg,71μg,
SE73,Pan al ajo,B,74kcal,310KJ,76.90g,0.30g,0.00g,20.80g,1.80g,0.10g,2.00g,105mg,61mg,0.20mg,5.30mg,956mg,780mg,5μg,0.08mg,0.14mg,0.80mg,12.73mg,0μg,
SE73,Pan al ajo,C,340kcal,1423KJ,40.70g,2.90g,33.30g,10.60g,9.80g,0.80g,0.60g,57mg,14mg,0.16mg,2.09mg,4370mg,0mg,0μg,0.04mg,0.08mg,0.30mg,3.48mg,8μg,
SE74,Papa a la huancaína,A,118kcal,495KJ,66.30g,3.70g,4.00g,17.60g,11.90g,1.00g,1.20g,79mg,77mg,0.33mg,0.62mg,126mg,0mg,32μg,0.05mg,0.16mg,0.76mg,8.88mg,0μg,
SE74,Papa a la huancaína,B,121kcal,504KJ,69.90g,3.70g,4.10g,17.80g,13.20g,1.30g,1.20g,83mg,80mg,0.32mg,0.61mg,80mg,0mg,34μg,0.06mg,0.17mg,0.91mg,10.41mg,0μg,
SE74,Papa a la huancaína,C,118kcal,496KJ,69.20g,3.40g,3.70g,18.60g,13.60g,1.30g,1.10g,66mg,73mg,0.34mg,0.64mg,115mg,6mg,26μg,0.06mg,0.16mg,0.90mg,9.70mg,1μg,
SE74,Papa a la huancaína,D,121kcal,505KJ,67.70g,3.50g,4.00g,18.50g,13.00g,1.20g,1.10g,67mg,73mg,0.33mg,0.58mg,131mg,0mg,27μg,0.05mg,0.16mg,0.84mg,9.94mg,0μg,
SE74,Papa a la huancaína,E,114kcal,478KJ,68.60g,3.30g,3.70g,17.80g,10.80g,0.90g,1.10g,60mg,67mg,0.32mg,0.72mg,69mg,0mg,25μg,0.04mg,0.13mg,0.56mg,7.82mg,0μg,
SE75,Papas a la rioja,B,60kcal,251KJ,51.70g,2.50g,1.70g,8.90g,1.10g,0.30g,0.80g,21mg,32mg,0.38mg,0.62mg,37mg,5mg,7μg,0.03mg,0.05mg,0.13mg,8.66mg,0μg,
SE76,Papa con huevo,A,116kcal,487KJ,65.90g,6.30g,7.10g,7.70g,6.90g,0.30g,1.60g,246mg,153mg,0.31mg,1.01mg,114mg,0mg,104μg,0.04mg,0.35mg,0.51mg,6.26mg,0μg,
SE77,Papas fritas,D,359kcal,1503KJ,49.60g,1.40g,33.40g,14.90g,13.30g,1.60g,0.70g,6mg,31mg,0.19mg,0.33mg,15mg,0mg,0μg,0.06mg,0.06mg,1.11mg,9.33mg,0μg,
SE78,Papa rellena,A,93kcal,391KJ,75.00g,5.10g,0.70g,17.40g,5.40g,0.50g,0.90g,29mg,68mg,0.86mg,1.30mg,263mg,0mg,6μg,0.02mg,0.05mg,1.07mg,5.99mg,0μg,
SE78,Papa rellena,B,277kcal,1160KJ,57.80g,3.30g,23.60g,14.10g,12.60g,1.50g,0.80g,12mg,51mg,0.52mg,0.83mg,87mg,0mg,7μg,0.06mg,0.08mg,1.37mg,7.96mg,0μg,
SE78,Papa rellena,C,133kcal,558KJ,71.70g,3.60g,6.20g,16.40g,15.10g,1.40g,1.00g,14mg,58mg,0.55mg,0.91mg,247mg,1mg,9μg,0.06mg,0.08mg,1.62mg,9.72mg,0μg,
SE78,Papa rellena,E,144kcal,604KJ,69.80g,4.80g,8.40g,12.90g,11.30g,1.50g,0.90g,18mg,65mg,0.89mg,1.15mg,107mg,0mg,11μg,0.06mg,0.09mg,1.97mg,11.11mg,0μg,
SE79,Papa rellena con ensalada,E,135kcal,564KJ,71.90g,3.30g,6.00g,17.60g,2.80g,0.20g,0.90g,30mg,48mg,0.48mg,0.79mg,87mg,0mg,6μg,0.02mg,0.03mg,0.51mg,5.59mg,0μg,
SE80,Papa rellena con sarsa criolla,A,160kcal,670KJ,68.70g,3.90g,9.60g,16.00g,12.30g,1.50g,0.90g,23mg,58mg,0.63mg,1.16mg,168mg,32mg,16μg,0.06mg,0.12mg,1.26mg,11.29mg,0μg,
SE81,Parihuela,C,52kcal,218KJ,36.00g,5.60g,0.50g,5.50g,5.20g,0.40g,0.60g,21mg,57mg,0.19mg,0.74mg,123mg,10mg,6μg,0.04mg,0.05mg,0.41mg,4.59mg,0μg,
SE81,Parihuela,D,51kcal,212KJ,40.80g,6.40g,2.10g,1.00g,0.70g,0.20g,0.70g,14mg,84mg,0.17mg,0.32mg,131mg,11mg,16μg,0.03mg,0.14mg,1.34mg,6.19mg,0μg,
SE81,Parihuela,E,99kcal,412KJ,73.80g,2.50g,7.10g,12.30g,11.50g,0.80g,4.70g,34mg,59mg,0.21mg,1.10mg,97mg,10mg,6μg,0.05mg,0.08mg,0.97mg,2.28mg,0μg,
SE82,Pastel de papa,A,138kcal,579KJ,70.40g,6.20g,6.10g,14.70g,13.10g,1.40g,1.40g,110mg,113mg,0.62mg,0.90mg,300mg,4mg,62μg,0.09mg,0.23mg,1.09mg,8.03mg,0μg,
SE83,Patasca,A,69kcal,288KJ,12.70g,3.30g,1.40g,10.50g,10.50g,0.00g,0.20g,13mg,36mg,0.22mg,0.57mg,91mg,0mg,1μg,0.06mg,0.02mg,0.58mg,0.32mg,0μg,
SE83,Patasca,C,67kcal,281KJ,9.20g,2.50g,0.60g,12.90g,12.90g,0.00g,0.20g,12mg,33mg,0.18mg,0.61mg,230mg,0mg,0μg,0.03mg,0.01mg,0.47mg,0.29mg,0μg,
SE83,Patasca,D,107kcal,446KJ,23.30g,6.50g,7.80g,2.70g,2.30g,0.20g,0.30g,12mg,50mg,0.53mg,1.09mg,371mg,11mg,108μg,0.07mg,0.11mg,1.30mg,1.42mg,0μg,
SE83,Patasca,E,54kcal,226KJ,13.30g,2.90g,0.60g,9.30g,9.30g,0.00g,0.20g,13mg,33mg,0.27mg,0.71mg,29mg,0mg,2μg,0.02mg,0.02mg,0.62mg,0.71mg,0μg,
SE84,Pejerrey arrebosado,C,172kcal,718KJ,66.50g,6.90g,9.30g,15.70g,14.30g,1.30g,0.90g,39mg,111mg,0.21mg,0.99mg,248mg,0mg,5μg,0.08mg,0.09mg,2.15mg,9.29mg,0μg,
SE85,Rocoto relleno,B,136kcal,569KJ,73.20g,6.60g,7.50g,11.20g,10.10g,1.00g,1.30g,102mg,106mg,0.85mg,1.10mg,74mg,0mg,69μg,0.05mg,0.17mg,1.65mg,8.92mg,0μg,
SE86,Salpicón de atún,B,253kcal,1059KJ,43.30g,7.90g,11.00g,32.40g,29.90g,2.40g,1.00g,34mg,78mg,0.58mg,2.47mg,1686mg,9mg,111μg,0.08mg,0.10mg,0.79mg,2.82mg,0μg,
SE87,Salpicón de pollo,A,120kcal,504KJ,73.20g,4.60g,5.50g,13.90g,11.50g,2.30g,0.90g,23mg,66mg,0.48mg,0.82mg,207mg,8mg,99μg,0.09mg,0.10mg,1.96mg,11.71mg,0μg,
SE87,Salpicón de pollo,C,100kcal,420KJ,76.90g,4.20g,3.50g,14.30g,8.20g,1.90g,0.90g,32mg,61mg,0.38mg,0.72mg,104mg,14mg,164μg,0.06mg,0.08mg,1.57mg,7.88mg,0μg,
SE87,Salpicón de pollo,D,117kcal,488KJ,74.10g,6.60g,4.40g,13.50g,7.80g,2.50g,1.10g,35mg,79mg,0.58mg,0.99mg,195mg,10mg,121μg,0.06mg,0.09mg,2.23mg,7.21mg,0μg,
SE87,Salpicón de pollo,E,35kcal,148KJ,77.80g,3.70g,0.50g,5.00g,3.30g,1.70g,0.60g,59mg,50mg,0.36mg,0.70mg,431mg,10mg,132μg,0.06mg,0.09mg,1.29mg,8.62mg,0μg,
SE88,Salpicón de verduras,B,169kcal,707KJ,67.40g,3.30g,10.90g,18.00g,14.70g,2.40g,0.70g,51mg,37mg,0.16mg,0.54mg,414mg,37mg,441μg,0.05mg,0.07mg,0.32mg,18.27mg,0μg,
SE89,Sancochado con pollo,A,58kcal,241KJ,39.40g,5.00g,0.70g,7.80g,7.30g,0.50g,0.60g,15mg,53mg,0.43mg,0.52mg,30mg,8mg,87μg,0.03mg,0.04mg,1.93mg,5.34mg,0μg,
SE89,Sancochado con pollo,C,46kcal,191KJ,19.50g,1.70g,0.70g,8.50g,8.00g,0.40g,0.30g,8mg,27mg,0.34mg,0.51mg,18mg,18mg,200μg,0.02mg,0.10mg,0.75mg,2.71mg,0μg,
SE90,Sancochado con res,A,35kcal,146KJ,22.40g,1.70g,0.20g,6.80g,6.00g,0.60g,0.30g,10mg,26mg,0.30mg,0.33mg,133mg,7mg,34μg,0.02mg,0.03mg,0.53mg,3.23mg,0μg,
SE90,Sancochado con res,B,39kcal,164KJ,18.10g,1.70g,0.40g,7.30g,7.00g,0.30g,0.20g,8mg,26mg,0.34mg,0.34mg,194mg,3mg,14μg,0.01mg,0.02mg,0.55mg,3.24mg,0μg,
SE90,Sancochado con res,C,31kcal,130KJ,20.40g,1.50g,0.20g,6.20g,5.40g,0.50g,0.30g,9mg,24mg,0.30mg,0.31mg,159mg,5mg,25μg,0.02mg,0.03mg,0.50mg,3.26mg,0μg,
SE90,Sancochado con res,D,35kcal,145KJ,24.20g,1.90g,0.20g,6.50g,5.70g,0.50g,0.30g,11mg,28mg,0.37mg,0.40mg,170mg,8mg,35μg,0.02mg,0.03mg,0.61mg,3.07mg,0μg,
SE90,Sancochado con res,E,38kcal,160KJ,25.40g,1.70g,0.20g,7.70g,7.00g,0.60g,0.30g,13mg,29mg,0.34mg,0.39mg,257mg,9mg,48μg,0.02mg,0.03mg,0.60mg,4.24mg,0μg,
SE91,Shambar,A,62kcal,259KJ,21.90g,4.30g,1.00g,9.10g,4.80g,2.30g,0.60g,21mg,64mg,0.55mg,0.97mg,218mg,18mg,2μg,0.08mg,0.04mg,0.83mg,1.45mg,0μg,
SE91,Shambar,C,46kcal,193KJ,22.60g,4.10g,1.20g,4.80g,3.30g,0.90g,0.40g,11mg,51mg,0.49mg,0.61mg,206mg,28mg,2μg,0.12mg,0.04mg,0.98mg,1.40mg,0μg,
SE91,Shambar,E,59kcal,245KJ,12.20g,4.20g,2.00g,6.30g,4.50g,1.20g,0.50g,14mg,30mg,0.30mg,0.47mg,69mg,8mg,1μg,0.04mg,0.02mg,0.40mg,1.24mg,0μg,
SE92,Solterito,C,85kcal,354KJ,77.70g,5.00g,2.60g,13.00g,10.30g,2.70g,1.20g,120mg,99mg,0.26mg,1.04mg,184mg,31mg,417μg,0.10mg,0.11mg,0.60mg,14.71mg,0μg,
SE93,Sopa a la minuta,A,40kcal,169KJ,23.10g,3.60g,0.40g,5.60g,4.80g,0.30g,0.30g,10mg,43mg,0.67mg,0.73mg,103mg,2mg,26μg,0.02mg,0.04mg,1.12mg,1.27mg,0μg,
SE93,Sopa a la minuta,B,51kcal,211KJ,20.60g,2.60g,0.20g,9.90g,9.60g,0.40g,0.30g,7mg,34mg,0.44mg,0.87mg,21mg,1mg,5μg,0.02mg,0.03mg,0.76mg,1.66mg,0μg,
SE93,Sopa a la minuta,C,44kcal,183KJ,17.00g,2.40g,0.60g,7.50g,7.00g,0.40g,0.30g,13mg,34mg,0.40mg,0.68mg,205mg,1mg,9μg,0.02mg,0.05mg,0.63mg,1.28mg,0μg,
SE93,Sopa a la minuta,D,71kcal,299KJ,30.80g,5.30g,1.50g,9.30g,8.40g,0.40g,0.40g,14mg,59mg,0.68mg,1.30mg,243mg,3mg,17μg,0.03mg,0.06mg,1.20mg,1.52mg,0μg,
SE93,Sopa a la minuta,E,41kcal,171KJ,14.50g,2.10g,0.50g,7.20g,6.80g,0.30g,0.20g,9mg,30mg,0.34mg,0.66mg,119mg,1mg,11μg,0.02mg,0.03mg,0.53mg,1.19mg,0μg,
